Semana,AWS: (Todo el mundo),Vercel: (Todo el mundo),GitHub Pages: (Todo el mundo),Netlify: (Todo el mundo)
2022-09-11,86,2,1,2
2022-09-18,87,2,1,2
2022-09-25,88,2,1,2
2022-10-02,84,2,1,2
2022-10-09,88,2,1,2
2022-10-16,91,2,1,2
2022-10-23,82,2,1,2
2022-10-30,83,2,1,2
2022-11-06,85,2,1,2
2022-11-13,90,2,1,2
2022-11-20,72,2,1,2
2022-11-27,86,2,1,2
2022-12-04,82,2,1,2
2022-12-11,79,2,1,2
2022-12-18,73,2,1,2
2022-12-25,56,2,1,2
2023-01-01,70,2,1,2
2023-01-08,81,3,1,2
2023-01-15,84,3,1,3
2023-01-22,81,2,1,3
2023-01-29,92,3,1,2
2023-02-05,90,3,1,2
2023-02-12,90,3,1,2
2023-02-19,87,3,1,2
2023-02-26,91,3,1,2
2023-03-05,88,3,1,3
2023-03-12,87,3,1,2
2023-03-19,86,3,1,3
2023-03-26,89,3,1,3
2023-04-02,84,4,1,2
2023-04-09,81,3,1,2
2023-04-16,90,3,1,2
2023-04-23,87,3,1,2
2023-04-30,73,4,1,2
2023-05-07,84,3,1,2
2023-05-14,82,3,1,2
2023-05-21,84,3,1,2
2023-05-28,81,3,1,2
2023-06-04,85,3,1,2
2023-06-11,92,3,1,2
2023-06-18,83,3,1,2
2023-06-25,87,3,1,2
2023-07-02,83,3,1,2
2023-07-09,98,4,1,2
2023-07-16,89,3,1,2
2023-07-23,89,3,1,2
2023-07-30,90,3,1,2
2023-08-06,88,3,1,2
2023-08-13,76,3,1,2
2023-08-20,86,4,1,2
2023-08-27,85,4,1,2
2023-09-03,85,3,1,2
2023-09-10,85,4,1,2
2023-09-17,86,4,1,3
2023-09-24,87,4,1,2
2023-10-01,84,3,1,2
2023-10-08,88,4,1,2
2023-10-15,86,4,1,2
2023-10-22,89,4,1,3
2023-10-29,82,4,1,2
2023-11-05,84,4,1,2
2023-11-12,79,4,1,2
2023-11-19,76,3,1,2
2023-11-26,88,4,1,2
2023-12-03,87,4,1,2
2023-12-10,78,4,1,2
2023-12-17,76,4,1,2
2023-12-24,52,3,1,2
2023-12-31,63,4,1,2
2024-01-07,80,4,1,2
2024-01-14,82,4,1,2
2024-01-21,88,4,1,2
2024-01-28,100,5,1,3
2024-02-04,96,5,1,3
2024-02-11,98,5,1,3
2024-02-18,96,5,1,2
2024-02-25,97,5,1,3
2024-03-03,94,5,1,2
2024-03-10,96,5,1,2
2024-03-17,97,5,1,2
2024-03-24,91,5,1,2
2024-03-31,92,5,1,2
2024-04-07,90,4,1,2
2024-04-14,87,5,1,2
2024-04-21,91,5,1,2
2024-04-28,81,5,1,2
2024-05-05,88,5,1,2
2024-05-12,99,6,1,2
2024-05-19,93,6,1,2
2024-05-26,90,6,1,2
2024-06-02,91,5,1,2
2024-06-09,96,5,1,2
2024-06-16,94,7,1,2
2024-06-23,93,7,1,2
2024-06-30,91,6,1,2
2024-07-07,93,6,1,2
2024-07-14,92,6,1,2
2024-07-21,92,5,1,2
2024-07-28,94,6,1,2
2024-08-04,88,6,1,2
2024-08-11,85,5,1,2
2024-08-18,86,6,1,2
2024-08-25,89,7,1,2
2024-09-01,93,7,1,2
2024-09-08,92,7,1,2
2024-09-15,86,7,1,2
2024-09-22,87,6,1,2
2024-09-29,86,7,1,2
2024-10-06,86,7,1,2
2024-10-13,87,7,1,2
2024-10-20,92,7,1,2
2024-10-27,83,6,1,2
2024-11-03,85,7,1,2
2024-11-10,91,7,1,3
2024-11-17,89,7,1,3
2024-11-24,82,7,1,3
2024-12-01,95,7,1,3
2024-12-08,80,7,1,3
2024-12-01,95,7,1,3
2024-12-08,80,7,1,3
